Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,Outage Code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN
2023-03-30 18:00:00,EL451,827067,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-03-31 02:00:00,2023-03-30 18:50:00,,Phone,EE-MANOUT,2023-03-30 18:04:00,CL,E&EM Escoto take machine OOS for WO3111794 ,921
2023-03-31 07:08:00,EL365,827267,ELE: EL365 - 894 - LINDEN SHOP - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-03-31 23:00:00,2023-03-31 16:25:00,,Phone,EE-MANOUT,2023-03-31 07:10:00,CL,"***This elevator is out of service for removing sump pump and installing new sump pump and piping***



Richmond tech. Koonjun/De Lacruz taking elevator OOS to remove sump pump and install new sump pump and piping. WO#6143852 (Richmond Email Update) Koonjan: Completed removing old subpump, piping, and external float. Now in process of sealing threads on new pipes and assembling pipes onto new subpump.  (Richmond Email Update) Koonjan: Completed sealing all threads on new pipes, installed all pipes, installed subpump, also installed external float for the sump pump. Returning elevator to service 4:25 to monitor 

 ",894
2023-03-31 09:45:00,EL252,827323,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-03-31 18:00:00,2023-03-31 14:00:00,,Phone,EE-MANOUT,2023-03-31 09:46:00,CL,,957
2023-03-31 10:50:00,EL174,827426,ELE: EL174 - 909 - WESTCHESTER YARD - PASSENGER ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-03-31 19:00:00,2023-03-31 12:25:00,,Phone,EE-MANOUT,2023-03-31 10:51:00,CL,,909
2023-04-02 08:05:00,EL366,827934,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-02 16:00:00,2023-04-02 13:30:00,,Phone,EE-MANOUT,2023-04-02 08:07:00,CL,"*** This elevator is out of service due to Non-Revenue Hydraulic Elevator Bimonthly Maintenance ***
 WO#6121086
E&EM Grabovsky & E&EH Nesterets arrived to El366 @ 08:00 hrs. Taking machine OOS to perform bimonthly PM @ 08:05 hrs.
 E&EM Grabovsky & E&EH Nesterets updated PM completed. RTS at 13:30 ",961
2023-04-02 16:45:00,EL162,828034,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-03 00:00:00,2023-04-02 17:20:00,,Phone,EE-MANOUT,2023-04-02 16:45:00,CL,,905
2023-04-03 03:57:00,EL366,828174,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,BRP,Closed,,UNDERINVESTG,Under Investigation,2023-04-03 15:57:00,2023-04-03 05:45:00,,Phone,EE-MANOUT,2023-04-03 03:58:00,CL,,961
2023-04-03 10:10:00,EL164,828238,ELE: EL164 - 909 - WESTCHESTER YARD - PELHAM INSPECTION BARN-PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-03 19:00:00,2023-04-03 14:05:00,,Phone,EE-MANOUT,2023-04-03 10:12:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Lazariev and E&EM Ellison taking EL164 for Bimonthly maintenance at 10:10 hours. E&EMs Ellison and Lazariev   Finished Bi-monthly Pm test ran monitored operations RTS @14:05 ",909
2023-04-03 12:35:00,EL366,828264,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,FR,Closed,,UNDERINVESTG,Under Investigation,2023-04-03 21:00:00,2023-04-03 14:05:00,,Phone,EE-MANOUT,2023-04-03 12:37:00,CL,,961
2023-04-04 04:20:00,EL366,828591,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,BRP,Closed,,REPAIR,Repair,2023-04-06 04:29:00,2023-04-04 13:25:00,,Phone,EE-MANOUT,2023-04-04 04:29:00,CL,"***This elevator is out of service; it was reported by TBPA G. Dehoyos #206084 ***



W#6218909
This elevator is out of service; it was reported by TBPA G. Dehoyos #206084. MS1 Ivanov was notified
 ",961
2023-04-04 08:10:00,EL360,828623,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-04 16:00:00,2023-04-04 13:25:00,,Phone,EE-MANOUT,2023-04-04 08:13:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***



WO6121083

E&EM Grabovsky & E&EH Nesterets arrived at EL360 @ 08:05 hrs. Taking machine OOS to perform bimonthly PM @ 08:10 hrs. (EAM) E&EH Nesterets: Bimonthly PM completed. B.I.S. @ 13:25 hrs. ",912
2023-04-04 08:40:00,EL458,828632,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-04 17:00:00,2023-04-04 12:50:00,,Phone,EE-MANOUT,2023-04-04 08:40:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Broschart & E&EM Wong arrived at 0830hrs and taking unit OOS @08:40hrs. for bimonthly PM. WO#6121089 E&EM Broschart & E&EM Wong completed bimonthly PM. RTS @12:50 ",965
2023-04-05 16:45:00,EL451,829236,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-06 01:00:00,2023-04-05 17:30:00,,Phone,EE-MANOUT,2023-04-05 16:46:00,CL,E&EM Escoto and E&EM Cedeno arrived machine @1635 on defect. WO3111794 ,921
2023-04-06 09:40:00,EL352,829400,ELE: EL352 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-06 18:00:00,2023-04-06 13:15:00,,Phone,EE-MANOUT,2023-04-06 09:43:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Grabovsky & E&EH Nesterets arrived to El352 @ 09:35 hrs. Taking machine OOS to perform bimonthly PM @ 09:40 hrs. WO#6121095 (EAM) E&EH Nesterets: Bimonthly PM completed. B.I.S. @ 13:15 hrs. ",704
2023-04-06 10:35:00,EL165,829420,ELE: EL165 - 902 - 239TH STREET YARD - FREIGHT ELEVATOR,,AP,Closed,,PLANNEDWORK,Planned Work,2023-04-06 16:00:00,2023-04-06 13:40:00,,Phone,EE-MANOUT,2023-04-06 10:36:00,CL,"***This elevator is out of service  A&P to NYCT hydraulic department on sum pump replacement***
E&EM García/E&EH Humphrey on-site at 10:30H for A&P to NYCT hydraulic department on sum pump replacement.
WO # 3831421. (email) E&EM Garcia: Upon arrival found machine running on normal operation, removed from service for sum pump replacement. When opening the elevator lower pit found there is no sum pump never has been installed, NYCT hydraulic department it's taking measurements of the pit to installed new sump pump also refer the information to engineering department to follow up. 

 Completed taking pictures and measurements from lower pit, NYCT hydraulic department will address the new sump pump installation to engineering department and they will communicate EE office for the job. Tested elevator run RTS at 13:40H.
New sump pump were left secured in M/R for installation informed MS1 Benzingher.
 ",902
2023-04-06 11:35:00,EL162,829439,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-06 16:00:00,2023-04-06 14:10:00,,Phone,EE-MANOUT,2023-04-06 11:37:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6121078   OOS @1135 hrs.


E&EM Lazariev and E&EM Ellison arrived at elevator 162 for Bimonthly maintenance at 11:15 hours.


 E&EM Lazariev and E&EM Ellison completed Bimonthly maintenance.  ERTS @ 14:10hours.
 ",905
2023-04-07 13:46:00,EL350,829901,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-04-07 22:00:00,2023-04-07 17:30:00,,Phone,EE-MANOUT,2023-04-07 13:46:00,CL,,913
2023-04-08 08:10:00,EL366,830166,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-08 15:00:00,2023-04-08 13:30:00,,Phone,EE-MANOUT,2023-04-08 08:13:00,CL,"***Elevator is Out Of Service  for  –  Defects Correction ***

WO# 6218909===== EAM OUT# 830166

E&EM Lyakhovetskiy and E&EH He arrived at el 366 at 0800, here to replace HS relay and relay for leveling unit. Machine OOS at 0810.

Machine Out Of Service @ 08:10
 (EAM) E&EH He: Replaced HS relay, and leveling unit relays, during test run, found same problem occurring where machine loses high speed when traveling from parking to 1st floor. Isolated independent switch, problem still occurs. In process of troubleshooting. Replaced HS relay, and leveling unit relays, during test run, found same problem occurring where machine loses high speed when traveling from parking to 1st floor. Isolated independent switch, problem still occurs. In process of troubleshooting.


Created: 04/08/2023 10:36
He, James (1268798)
 Adjusted valve body up direction, car able to make it to 1st floor from parking level, test ran machine, machine BIS at 1330.


Created: 04/08/2023 13:30
He, James (1268798)
 ",961
2023-04-09 08:55:00,EL173,830439,ELE: EL173 - 905 - EAST 180 ST / INSP SHOP - 3 LANDINGS,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-09 16:00:00,2023-04-09 12:00:00,,Phone,EE-MANOUT,2023-04-09 08:56:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6121081


E&EM DeMonico, E&EM Connell and E&EH Villegas arrived at 0840. Removing from service at 0855 for bimonthly maintenance
 (EAM) E&EM Demonico: Completed bimonthly PM. RTS at 1200 ",905
2023-04-09 09:00:00,EL363,830440,ELE: EL363 - 910 - 38TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-09 16:00:00,2023-04-09 13:05:00,,Phone,EE-MANOUT,2023-04-09 09:06:00,CL,"*** This elevator is out of service due to Non-Revenue Hydraulic Elevator Bimonthly Maintenance***  WO#6121084
E&EM Grabovsky & E&EH Nesterets arrived to El363 @ 08:45 hrs. Taking machine OOS to perform bimonthly PM @ 09:00 hrs. (EAM) E&EH Nesterets:  Bimonthly PM completed. B.I.S. @ 13:05 hrs. ",910
2023-04-10 07:45:00,EL458,830716,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-10 15:00:00,2023-04-10 14:20:00,,Phone,EE-MANOUT,2023-04-10 07:43:00,CL,"***Elevator is Out Of Service  for  –  Sumpt Pump Investigation***

WO# 6214647===== EAM OUT# 830716

Richmond Tech Soto & Moran Reported Arrive @ 07:00 to Investigation  Sumpt Pump Machine Out Of Service @ 07:45                                              Richmond Tech Soto & Moran 
EL-458

Final Update:

Surveyed leak under tank.  Need new IMO pump-218.  Notified Martinez.
Cleaned under tank.
Surveyed piston seal.  Need new seal, notified Martinez.
 RTS @14:20 ",965
2023-04-10 08:35:00,EL364,830731,ELE: EL364 - 910 - 38TH STREET YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-10 15:00:00,2023-04-10 13:00:00,,Phone,EE-MANOUT,2023-04-10 08:38:00,CL,"***Elevator is Out Of Service  for  –  Bi-Monthly Maintenance***

WO# 6121085===== EAM OUT# 830731

E&EM Grabovsky & E&EH Nesterets arrived to El364 @ 08:30 hrs. Taking machine OOS to perform bimonthly PM @ 08:35 hrs.. Machine Out Of Service @08:35                                           E&EM Grabovsky & E&EH Nesterets Reported Maintenance completed.  RTS @13:00 ",910
2023-04-10 10:00:00,EL165,830763,ELE: EL165 - 902 - 239TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-10 15:00:00,2023-04-10 13:40:00,,Phone,EE-MANOUT,2023-04-10 09:58:00,CL,"***Elevator is Out Of Service  for  –  Bi-Monthly Maintenance***

WO# 6121080===== EAM OUT# 830763

E&EM Patterson, E&EM Garcia and E&EH Mata arrived at EL165 at 9:40am for bimonthly maintenance... Machine Out Of Service @ 10:00                                              Completed bimonthly PM, tested run RTS at 13:40 ",902
2023-04-10 11:16:00,EL153,830783,ELE: EL153 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-04-10 20:00:00,2023-04-10 14:45:00,,Phone,EE-MANOUT,2023-04-10 11:17:00,CL,,918
2023-04-11 07:15:00,EL458,831117,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-14 23:00:00,2023-04-13 17:30:00,,Phone,EE-MANOUT,2023-04-11 07:15:00,CL,"***This elevator is out of service to drain the oil from system***

Richmond tech. Soto/Aminov taking elevator OOS to drain the oil from system (tank,piston)WO#6214647 (Richmond Email Update) Soto:
Landing the car 
Removed the piston head
We in the process to evacuated the old oil from the piston

 Richmond tech Soto updated Tomorrow continue remove oil from the piston 

Drain high pressure line 

Clean piston jag 

LOTO LOOS posted sign 4-13-23 4:30pm 4/12/23 0718hrs{Jackson,R}Richmond Techs Soto & Maron arrived @ 0700hrs (Richmond Email Update) Moran: EL-458
Moran & Soto
Update:
•	Removed oil from the tank.
•	Drained oil from pipe in the pit.
In the process of draining oil from high pressure line in motor room.

 EL-458
Moran & Soto
Update:
•Flushing out remaining oil/residue in pipes from motor room and pit.

 EL-458
Moran & Soto
Final Update:
•	Flushed and cleaned out oil tank.
•	Lock out tag out.
•	Updated signs to 4/14 16:00.
Tomorrow we will continue with removal of piston oil.

 EL-458
Moran & Soto
Update:
•	Replaced piston seal.
In the process of setting up e-vac for removal of oil in piston.

 EL-458

Moran & Soto

2nd Update:

Removed oil from piston.
Flushing out oil from piston until clean.

In the process of adding 125 gallons of oil into tank.

  EL-458
Moran & Soto
Final Update:
•	Installed piston head to under car plate.
•	Need 3 more 5 gallon bucks of oil-Notified Martínez 
•	No leaks found. 
BIS@1730 ",965
2023-04-11 07:50:00,EL360,831122,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-04-13 16:00:00,2023-04-12 09:45:00,,Phone,EE-MANOUT,2023-04-11 07:56:00,CL,,912
2023-04-12 07:15:00,EL251,831567,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,FR,Closed,,UNDERINVESTG,Under Investigation,2023-04-12 16:00:00,2023-04-12 09:15:00,,Phone,EE-MANOUT,2023-04-12 07:17:00,CL,,958
2023-04-12 09:15:00,EL353,831614,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-12 18:00:00,2023-04-12 12:00:00,,Phone,EE-MANOUT,2023-04-12 09:18:00,CL,"***This elevator is out of service for Bi-Monthly PM***
WO6121096    EAM OUT831614
4/12/23 0915hrs{Jackson,R}E&EM Marshall E&EH Alcaraz and TEA Astudillo taking unit OOS for Bi-Monthly PM E&EM Marshall E&EH Alcaraz and TEA Astudillo completed Bi-Monthly PM. RTS @12:00hrs. ",704
2023-04-13 08:35:00,EL400,832069,ELE: EL400 - 904 - CORONA YARD - SIGNAL TOWER,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-13 18:00:00,2023-04-13 12:40:00,,Phone,EE-MANOUT,2023-04-13 08:38:00,CL,"*** This Elevator is out of service for Non-Revenue Hydraulic Bi-Monthly Maintenance ***


WO#6121088
@0835 E&EM Cedeno and E&EH Tenecela arrived at 0830hrs. Here for bimonthly pm. Taking OOS @0835hrs. E&EM Cedeno and E&EH Tenecela completed bimonthly pm.  RTS @12:40 ",904
2023-04-13 08:52:00,EL367,832074,ELE: EL367 - 955 - COZINE IRONSHOP - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-13 17:00:00,2023-04-13 12:20:00,,Phone,EE-MANOUT,2023-04-13 08:53:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Zimlin E&EH Alcaraz and TEA Astudillo arrive at 8:20am. and taking unit OOS @08:52hrs. to perform bi monthly PM.  WO#6121087 Completed PM test ran and monitored machine BIS at 12:20pm. ",955
2023-04-13 10:33:00,EL360,832126,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,FR,Closed,,REPAIR,Repair,2023-04-13 19:00:00,2023-04-13 17:00:00,,Phone,EE-MANOUT,2023-04-13 10:35:00,CL,,912
2023-04-14 07:17:00,EL458,832497,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-14 16:00:00,2023-04-14 14:30:00,,Phone,EE-MANOUT,2023-04-14 07:19:00,CL,"***This elevator is out of service for top landing hoist way door hanger rollers and gibs replacement***



Richmond tech. Soto/Moran taking elevator OOS to replace top landing hoist way door hanger rollers and gibs. WO#6214647 Richmond tech. Soto/Moran: Cleaned out Removed old hoist-way door hanger rollers at top landing 
We are in the process of installing new hanger rollers at hoist-way door top landing 

 Richmond tech. Soto/Moran: Cleaned out Removed old hoist-way door hanger rollers top landings We are in the process to install new hanger rollers hoist-way door top landing.

 Richmond tech. Moran email:  Finished installed hanger rollers hoistway door top landing. Adjusted door for proper clearance. RTS @14:30 

 ",965
2023-04-14 10:19:00,EL360,832553,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-04-17 23:00:00,2023-04-16 10:30:00,,Phone,EE-MANOUT,2023-04-14 10:22:00,CL,,912
2023-04-17 07:15:00,EL458,833437,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-17 16:00:00,2023-04-17 16:30:00,,Phone,EE-MANOUT,2023-04-17 07:15:00,CL,"*** This Elevator is out of service for hanger roller and gibs replacement***


4/17/23 @0715HRS[Perkhalyuk] Richmond Tech Soto/Moran reports this unit OOS for lower lever hoistway door hanger roller and gibs replacement. 


 4/17/23 @1115HRS[Perkhalyuk] Richmond Tech Soto updated via email: Removed old hangers rollers hoistway door lower landing. We in the process to install a new hangers rollers lower landing . 4/17/23 @1329HRS[Perkhalyuk] Richmond Tech Soto updated via email: Finished install new hangers roller hoisway door lower landing . We in the process to remove old hangers rollers car door rear side  Richmond tech Moran/Soto Installed new hangers rollers rear car door 

Adjusted the door for proper clearance 

Installed new hangers rollers front car door 

Adjusted for proper clearance 

El 458 back in service 4:30 pm ",965
2023-04-17 10:05:00,EL174,833480,ELE: EL174 - 909 - WESTCHESTER YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-17 20:00:00,2023-04-17 12:30:00,,Phone,EE-MANOUT,2023-04-17 10:18:00,CL,"***This Elevator is out of service for Bi-monthly Maintenance ***



E&EM Morales and TEA Kownine arrived EL174 @09:55 for Bi-monthly maintenance.

E&EM Morales and TEA Kownine taking EL174 at 10:05 for maintenance

WO#6121082 E&EM Morales and TEA Kownine completed Bi-monthly maintenance. BIS @ 12:30. ",909
2023-04-18 08:30:00,EL367,833874,ELE: EL367 - 955 - COZINE IRONSHOP - PASSENGER ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-18 16:00:00,2023-04-18 12:20:00,,Phone,EE-MANOUT,2023-04-18 08:32:00,CL,,955
2023-04-18 12:27:00,EL162,833957,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,BRP,Closed,,UNDERINVESTG,Under Investigation,2023-04-18 21:00:00,2023-04-18 14:00:00,,Phone,EE-MANOUT,2023-04-18 12:27:00,CL,,905
2023-04-19 09:00:00,EL366,834333,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,BRP,Closed,,REPAIR,Repair,2023-04-19 17:00:00,2023-04-19 13:55:00,,Phone,EE-MANOUT,2023-04-19 09:02:00,CL,,961
2023-04-19 21:53:00,EL400,834575,ELE: EL400 - 904 - CORONA YARD - SIGNAL TOWER,,FR,Closed,Top Door Lock Clipped,REPAIR,Repair,2023-04-20 06:00:00,2023-04-20 00:00:00,ST230419.txt - 5471,External Monitoring System,EE-LNOUT,2023-04-19 22:04:00,CL,,904
2023-04-20 08:45:00,EL353,834800,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-20 17:00:00,2023-04-20 12:45:00,,Phone,EE-MANOUT,2023-04-20 08:47:00,CL,,704
2023-04-20 08:50:00,EL366,834802,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-20 17:00:00,2023-04-20 14:13:00,,Phone,EE-MANOUT,2023-04-20 08:53:00,CL,"***This elevator is out of service for inside the car independent key switch investigation***  


E&EM Lyakhovetskiy and E&EH He arrived at 08:15hrs. and taking unit OOS @08:50hrs. to investigate independent key switch inside the car.  WO#6323864 E&EMs Babenko Rybakov and Konovalov arrived elevator 366 at 9:40. (email) Konovalov: Checked the elevator running on normal (except basement landing), Ok. EL CCR reassigned to EL465 by ms1 Brunetti, departure time 10:45. Checked and found independent key switch contacts were burned, went to print shop for parts, replaced contacts on independent switch, test ran machine, machine BIS at 1413. ",961
2023-04-20 09:30:00,EL251,834821,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-20 16:00:00,2023-04-20 14:15:00,,Phone,EE-MANOUT,2023-04-20 09:30:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6121093 OOS @930
E&EM Kissoon and E&EH Germain arrived at 9:10hrs to perform bimonthly PM and summer equipment check 
 E&EM Kissoon and E&EH Germain completed bimonthly PM and summer equipment check.  RTS @14:15 ",958
2023-04-21 07:35:00,EL151,835188,ELE: EL151 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-21 16:00:00,2023-04-21 12:15:00,,Phone,EE-MANOUT,2023-04-21 07:36:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6121091


E&EM DeMonico and E&EM Connell arrived at 0715. Removing car from service at 0735 for bimonthly maintenance
 (EAM) E&EM Demonico: Completed bimonthly PM. RTS at 1215 ",918
2023-04-21 09:05:00,EL252,835217,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-21 18:00:00,2023-04-21 14:15:00,,Phone,EE-MANOUT,2023-04-21 09:05:00,CL,"***This elevator is out of service for preventive maintenance***


E&EM Liu79 and E&EH Germain arrived at 9:00hrs. and taking unit OOS @09:05 for bimonthly PM. WO#6121094 E&EM Liu79 and E&EH Germain completed bimonthly PM.  RTS @14:15 ",957
2023-04-21 09:30:00,EL152,835228,ELE: EL152 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-04-21 16:00:00,2023-04-21 14:20:00,,Phone,EE-MANOUT,2023-04-21 09:36:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6121092


E&EMs Ellison and Lazariev   Here for bi-monthly Pm, taking marching out of service at 9:30
 (EAM) E&EM Eliison: E&EMs Ellison and Lazariev   Finished Bi-monthly PM RTS @1420 ",918
2023-04-21 11:35:00,EL353,835276,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-21 16:00:00,2023-04-21 13:35:00,,Phone,EE-MANOUT,2023-04-21 12:33:00,CL,,704
2023-04-23 09:32:00,EL367,835800,ELE: EL367 - 955 - COZINE IRONSHOP - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-04-23 18:00:00,2023-04-23 11:15:00,,Phone,EE-MANOUT,2023-04-23 09:32:00,CL,,955
2023-04-25 10:00:00,EL165,836541,ELE: EL165 - 902 - 239TH STREET YARD - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-25 19:00:00,2023-04-25 10:10:00,,Phone,EE-MANOUT,2023-04-25 10:05:00,CL,"***This Elevator is out of service for summer check***


E&EM Patterson and E&EH Humphrey has arrived @ 09:55 hrs for summer check
WO#6276645




 Summer check completed. RTS @ 10:10 hrs ",902
2023-04-27 10:15:00,EL155,837689,ELE: EL155 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-27 22:00:00,2023-04-27 14:10:00,,Phone,EE-MANOUT,2023-04-27 10:19:00,CL,"*****This Elevator is Out of Service Door Chain Connecting Rod Repair****



WO#5305179
@1015 E&EM Encarnarcion and E&EH Humphrey arrived @ 09:40 hrs to address B defects Upon arrival realized car had a leveling problem. Found broken wire. Fixed broken wire and fixed leveling. Continuing to address B defects  (email) E&EH Humphrey: Upon arrival realized car had a leveling problem. Found broken wire. Fixed broken wire and fixed leveling. Continuing to address B defects  Finished addressing B defects test run monitored operation BIS at 14:10 ",918
2023-04-27 11:28:00,EL451,837735,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,ENT,Closed,,REPAIR,Repair,2023-04-29 23:00:00,2023-04-27 19:15:00,,Phone,EE-MANOUT,2023-04-27 11:30:00,CL,,921
2023-04-28 08:00:00,EL353,838017,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-04-28 16:00:00,2023-04-28 14:05:00,,Phone,EE-MANOUT,2023-04-28 08:03:00,CL,"***Richmond Techs DeLa Cruz/Sahadeo removed the elevator from service to service/measure the doors and cable (diameter)***
WOEE130244 Richmond Techs DeLa Cruz/Sahadeo report elevator doors operate manually. There is no door operator. Elevator doors need be adjusted. Rope is 1/2 inch in diameter. rope has worn 1/16 inch needs to be replaced. MS1 Torres arrived to gather information from the rope tag. Richmond Techs DeLa Cruz/Sahadeo report completed adjusting elevator doors. Test ran. BIS. ",704
2023-05-01 09:26:00,EL353,839069,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-05-01 16:00:00,2023-05-01 14:07:00,,Phone,EE-MANOUT,2023-05-01 09:26:00,CL,,704
2023-05-02 09:30:00,EL354,840414,ELE: EL354 - 912 - CONEY ISLAND YARD - STREET TO 1ST & 2ND FLOOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-05-02 18:00:00,2023-05-02 13:00:00,,Phone,EE-MANOUT,2023-05-02 09:32:00,CL,"***This elevator is out of service for preventive maintenance***



E&EH Nesterets arrived to El354 @ 08:15 hrs. E&EM Naumov arrived @ 08:50 hrs. Taking machine OOS to perform bimonthly PM @ 09:30 hrs. WO#6365359 E&EH Nesterets and E&EM Naumov completed bimonthly PM. RTS @13:00  ",912
2023-05-02 10:15:00,EL350,840480,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-05-02 16:00:00,2023-05-02 11:45:00,,Phone,EE-MANOUT,2023-05-02 10:17:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO6365349 OOS @1015 hrs.


E&EM Marshall, E&EH Bhagwandeen and TEA Astudillo arrived at EL350 @08:00 for bimonthly P.M.
 P.M. completed test ran monitored machine BIS at 11:45am ",913
